id_campeonato,nombre_campeonato,nombre_torneo
1172,Preparatorio Juegos Araucania 2024,Región de La Araucanía
1173,3° Fecha 2024,Grand Prix de Atletismo Escolar UC
1174,3° Control 2024,Región de Antofagasta
1175,Copa Iquique 2024,Copa Iquique
1176,Fiestas Patrias 2024,Región del Bio Bío
1177,Septiembre 2024,Meeting UC
1178,Todo Competidor 2024,Todo Competidor AARM
1179,Básica 2024,Olimpiadas CEAS
1180,Media 2024,Olimpiadas CEAS
1181,Torneo Atlético Escolar Karen Gallardo Pinto 2024,Torneo Atlético Escolar Karen Gallardo Pinto
1182,Juvenil Adaptado 2024,Juegos Deportivos Escolares - Ñuble
1183,Juvenil 2024,Juegos Deportivos Escolares - Ñuble
1184,Torneo Confraternidad SSCC 2024,Torneo Confraternidad SSCC
1185,Inter Alianzas 2024,Inter Alianzas
1186,-,
1187,Ñuble 2024,Regional U12 - Ñuble
1188,Selectivo 2024,Región de Los Rios
1189,Varones 2024,Juegos Nacionales Maristas
1190,Torneo Franklin Rubio Ortega 2024,Torneo Franklin Rubio Ortega
1191,Zona Sur Interclubes Coronel 2025,Zona Sur Interclubes Coronel
1192,Juegos Deportivos Nacionales 2024,Juegos Deportivos Nacionales
1193,Torneo Club Endurance Runners 2024,Torneo Club Endurance Runners
1194,Control Regional 2024,Región de Los Rios
1195,Primavera 2024,Región del Bio Bío
1196,Interescolar Boston Academy 2024,Interescolar Boston Academy
1197,Convencional 2024,Juegos Deportivos Escolares
1198,Adaptado 2024,Juegos Deportivos Escolares
1199,Selectivo JJAA 2024,Región de La Araucanía
1200,Octubre 2024,Meeting UC
1201,Copa Liceo Bicentenario de Coihueco 2024,Copa Liceo Bicentenario de Coihueco
1202,Federado Selectivo JJAA 2024,Región del Bio Bío
1204,Juegos Olímpicos para Padres 2024,Juegos Olímpicos para Padres
1206,Torneo Atlético Runnorth Chile 2024,Torneo Atlético Runnorth Chile
1207,Talentos del Atletismo del Maule 2024,Talentos del Atletismo del Maule
1210,2024,Track and Field Old School
1211,Torneo Colegio Arrayanes 2024,Torneo Colegio Arrayanes
1212,Torneo de Primavera 2024,Región de Ñuble
1213,Olimpiadas Atléticas Nacionales Colegios Adventistas 2024,Olimpiadas Atléticas Nacionales Colegios Adventistas
1214,Torneo Atlético Desierto Florido 2024,Torneo Atlético Desierto Florido
1215,2° Fecha RM 2024,Liga Deportiva de Educación Superior RM
1216,Noviembre 2024,Meeting UC
1217,UBB 2024,Región de Ñuble
1218,Control de Marcas 2024,Región de La Araucanía
1219,Campeonato Fondo y Lanzamientos 2024,Región de Coquimbo
1220,Copa Colegio Inglés de Talca 2024,Copa Colegio Inglés de Talca
1221,Campeonato Nacional FENAUDE 2024,Campeonato Nacional FENAUDE
1222,Cross Country A. Cheukeniata 2024,Región del Bio Bío
1223,Copa Aniversario Ciudad de Iquique 2024,Copa Aniversario Ciudad de Iquique
1224,-,
1225,Medio Fondo y Fondo 2024,Campeonato Nacional de Área
1226,Lanzamientos 2024,Campeonato Nacional de Área
1227,Saltos 2024,Campeonato Nacional de Área
1228,"Velocidad, Vallas y Relevos 2024",Campeonato Nacional de Área
1231,Parte I 2024,Torneo Profesor Hernán Pezoa
1232,Parte II 2024,Torneo Profesor Hernán Pezoa
1235,Meeting Nocturno 2025,Club Atlético Quilamapu
1236,Selectivo Regional Cross Country 2025,Región del Bio Bío
1237,Evaluativo Velocidad y Vallas 2025,Región de Los Rios
1238,Evaluativo Medio Fondo/ Saltos 2025,Región de Los Rios
1239,Evaluativo Lanzamientos 2025,Región de Los Rios
1241,Apertura 2025,Meeting UC
1242,Apertura Todo Competidor 2025,Meeting UC
1243,1º Todo Competidor Agosto 2025,Meeting UC
1246,Puente Alto 2025,Todo Competidor AARM
1247,USACH 2025,Todo Competidor AARM
